Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
40-instance-56, 40, 21, 0.021,0.473,1.693,27,16,3.39929e-09,0.428571,0.25,
40-instance-57, 40, 16, 0.013,0.39,0.793,33,14,5.0178e-11,0.3125,0.111111,
40-instance-58, 40, 18, 0.022,0.448,0.811,36,15,6.94636e-17,0.222222,0.0769231,
40-instance-59, 40, 9, 0.014,0.357,0.312,37,7,3.43323e-05,0.333333,0.25,
40-instance-60, 40, 17, 0.018,0.412,1.111,33,14,6.1009e-08,0.470588,0.166667,
40-instance-61, 40, 8, 0.005,0.112,0.295,37,6,0.00274348,0.5,0.333333,
40-instance-62, 40, 15, 0.01,0.498,0.727,37,10,3.2768e-11,0.333333,0.1,
40-instance-63, 40, 14, 0.013,0.328,0.621,34,11,1.79219e-06,0.428571,0.285714,
40-instance-64, 40, 14, 0.003,0.041,0.378,35,12,4.68306e-10,0.285714,0.125,
40-instance-65, 40, 5, 0.004,0.115,0.145,40,5,0.32768,0.8,0.8,
50-instance-1, 50, 8, 0.014,0.318,0.148,50,8,5.96046e-08,0.125,0.125,
50-instance-2, 50, 19, 0.023,0.834,1.539,42,14,9.8464e-15,0.210526,0.111111,
50-instance-3, 50, 27, 0.018,0.549,1.986,35,24,8.56569e-16,0.333333,0.176471,
50-instance-4, 50, 18, 0.028,0.687,1.346,43,8,8.88178e-16,0.166667,0.125,
50-instance-5, 50, 18, 0.021,0.629,1.203,43,17,5.83392e-13,0.222222,0.1875,
50-instance-6, 50, 8, 0.015,0.432,0.313,46,6,0.000193843,0.375,0.25,
50-instance-7, 50, 13, 0.02,0.821,1.138,45,7,5.26396e-09,0.230769,0.230769,
50-instance-8, 50, 23, 0.033,0.65,1.66,43,21,6.61006e-20,0.217391,0.0909091,
50-instance-9, 50, 21, 0.027,0.619,2.15,36,19,8.84584e-08,0.47619,0.384615,
50-instance-10, 50, 9, 0.008,0.31,0.17,50,9,2.58117e-09,0.111111,0.111111,
50-instance-11, 50, 19, 0.032,0.933,2.27,38,16,1.11447e-07,0.473684,0.285714,
50-instance-12, 50, 19, 0.02,0.466,1.863,41,13,1.98682e-08,0.473684,0.166667,
50-instance-13, 50, 32, 0.032,0.785,3.904,35,22,4.31424e-16,0.46875,0.142857,
50-instance-14, 50, 11, 0.022,0.482,0.483,45,10,3.3039e-07,0.272727,0.222222,
50-instance-15, 50, 22, 0.018,0.493,1.398,42,7,3.22265e-16,0.272727,0.142857,
50-instance-16, 50, 30, 0.036,1.007,3.421,38,26,4.56142e-18,0.3,0.176471,
50-instance-17, 50, 20, 0.018,0.423,1.972,38,15,2.77243e-08,0.45,0.25,
50-instance-18, 50, 13, 0.016,0.412,0.732,42,10,2.66667e-05,0.461538,0.333333,
50-instance-19, 50, 19, 0.02,0.595,1.559,43,11,2.76356e-08,0.473684,0.25,
50-instance-20, 50, 23, 0.021,0.507,1.974,34,19,3.32957e-10,0.391304,0.333333,
50-instance-21, 50, 16, 0.014,0.3,0.551,49,15,9.78279e-16,0.1875,0.0769231,
50-instance-22, 50, 9, 0.028,0.861,0.417,47,6,7.93832e-07,0.222222,0.166667,
50-instance-23, 50, 27, 0.028,0.733,2.796,34,19,3.62413e-14,0.37037,0.2,
50-instance-24, 50, 29, 0.021,0.472,1.676,33,27,6.9158e-19,0.275862,0.166667,
50-instance-25, 50, 16, 0.021,0.621,1.429,44,14,0.000886885,0.6875,0.4,
50-instance-26, 50, 11, 0.032,0.856,0.688,44,9,3.3039e-07,0.272727,0.222222,
50-instance-27, 50, 24, 0.012,0.491,2.082,39,19,6.91078e-15,0.375,0.133333,
50-instance-28, 50, 15, 0.029,1.12,1.148,45,12,4.16415e-10,0.266667,0.142857,
50-instance-29, 50, 14, 0.017,0.497,0.746,43,10,0.0335276,0.785714,0.75,
50-instance-30, 50, 6, 0.036,1.072,0.453,49,4,0.0791016,0.666667,0.5,
50-instance-31, 50, 17, 0.012,0.4,0.692,44,14,3.70983e-11,0.294118,0.125,
50-instance-32, 50, 14, 0.02,0.773,0.796,45,13,4.99037e-07,0.428571,0.166667,
50-instance-33, 50, 4, 0.018,0.601,0.139,48,2,0.0625,0.5,0.5,
50-instance-34, 50, 17, 0.018,0.75,1.101,42,16,1.17663e-13,0.176471,0.142857,
50-instance-35, 50, 6, 0.02,0.777,0.282,47,4,0.015625,0.5,0.5,
50-instance-36, 50, 20, 0.018,0.722,1.283,43,17,4.35091e-15,0.25,0.133333,
50-instance-37, 50, 23, 0.025,0.811,1.609,39,22,9.97665e-16,0.26087,0.142857,
50-instance-38, 50, 21, 0.019,0.697,1.635,37,16,5.68434e-06,0.571429,0.5,
50-instance-39, 50, 24, 0.013,0.395,1.712,37,17,1.72467e-09,0.458333,0.25,
50-instance-40, 50, 8, 0.003,0.065,0.173,49,4,0.00390625,0.5,0.5,
50-instance-41, 50, 22, 0.026,0.671,1.709,37,20,1.84589e-13,0.318182,0.1875,
50-instance-42, 50, 18, 0.027,1.039,1.794,43,16,0.00250565,0.722222,0.5,
50-instance-43, 50, 19, 0.014,0.309,0.836,44,18,1.50983e-14,0.210526,0.142857,
50-instance-44, 50, 17, 0.027,1.059,2.865,41,16,1.94283e-05,0.529412,0.5,
50-instance-45, 50, 11, 0.018,0.642,0.36,50,11,3.50494e-12,0.0909091,0.0909091,
50-instance-46, 50, 13, 0.016,0.286,0.541,43,10,2.37037e-05,0.461538,0.333333,
50-instance-47, 50, 13, 0.036,1.241,1.315,45,11,3.79259e-09,0.230769,0.2,
50-instance-48, 50, 35, 0.027,0.493,3.662,31,29,9.32578e-24,0.314286,0.0769231,
50-instance-49, 50, 21, 0.021,0.62,1.518,41,11,4.34226e-12,0.380952,0.166667,
50-instance-50, 50, 9, 0.005,0.144,0.35,46,4,0.000514403,0.444444,0.333333,
60-instance-1, 60, 17, 0.014,0.165,0.631,54,13,3.05161e-14,0.235294,0.0909091,
60-instance-2, 60, 31, 0.026,0.976,3.268,45,27,3.48439e-21,0.290323,0.15,
60-instance-3, 60, 30, 0.024,0.775,3.371,45,23,3.38541e-18,0.333333,0.142857,
60-instance-4, 60, 31, 0.035,0.955,4.175,42,27,2.00659e-18,0.354839,0.0909091,
60-instance-5, 60, 15, 0.028,0.913,1.467,52,13,6.82254e-06,0.466667,0.333333,
60-instance-6, 60, 42, 0.046,1.139,6.702,34,38,3.93067e-21,0.404762,0.166667,
60-instance-7, 60, 22, 0.023,0.889,1.35,51,20,7.0988e-15,0.318182,0.133333,
60-instance-8, 60, 45, 0.025,0.663,4.613,39,36,4.37397e-30,0.288889,0.153846,
60-instance-9, 60, 25, 0.015,0.441,1.954,50,21,1.54755e-17,0.28,0.125,
60-instance-10, 60, 24, 0.036,1.069,1.928,52,21,4.67926e-18,0.208333,0.111111,
60-instance-11, 60, 32, 0.024,0.763,2.914,43,27,1.1301e-20,0.28125,0.157895,
60-instance-12, 60, 25, 0.034,0.896,3.42,44,20,1.17955e-11,0.4,0.25,
60-instance-13, 60, 36, 0.028,0.794,4.243,37,30,6.46891e-18,0.388889,0.166667,
60-instance-14, 60, 20, 0.024,0.78,1.103,53,17,6.41849e-17,0.25,0.0769231,
60-instance-15, 60, 41, 0.05,1.731,6.789,40,34,7.28991e-26,0.341463,0.111111,
60-instance-16, 60, 11, 0.029,1.435,1.049,59,10,1.76606e-08,0.272727,0.125,
60-instance-17, 60, 23, 0.027,0.804,2.474,49,19,2.07194e-11,0.391304,0.25,
60-instance-18, 60, 34, 0.03,1.179,3.342,47,31,4.0033e-30,0.176471,0.0714286,
60-instance-19, 60, 30, 0.013,0.467,2.038,54,26,1.61347e-27,0.266667,0.0526316,
60-instance-20, 60, 26, 0.03,1.017,2.674,42,24,8.13578e-13,0.346154,0.3125,
60-instance-21, 60, 32, 0.025,1.027,4.811,40,29,4.9083e-19,0.28125,0.166667,
60-instance-22, 60, 20, 0.013,0.378,0.884,53,7,4.18622e-08,0.55,0.166667,
60-instance-23, 60, 14, 0.033,1.414,1.483,51,12,0.000395792,0.571429,0.571429,
60-instance-24, 60, 39, 0.049,1.022,6.942,36,28,4.09558e-21,0.358974,0.2,
60-instance-25, 60, 26, 0.069,2.264,7.549,45,23,3.85771e-12,0.423077,0.166667,
60-instance-26, 60, 28, 0.036,1.092,4.244,48,24,2.33518e-21,0.285714,0.0833333,
60-instance-27, 60, 24, 0.026,0.978,1.974,53,21,1.75838e-21,0.166667,0.0869565,
60-instance-28, 60, 27, 0.029,1.101,2.811,44,26,8.38861e-19,0.222222,0.2,
60-instance-29, 60, 27, 0.029,1.145,6.31,41,19,2.20758e-09,0.481481,0.333333,
60-instance-30, 60, 41, 0.052,1.785,5.669,37,31,3.78093e-29,0.292683,0.0833333,
60-instance-31, 60, 35, 0.034,1.156,5.09,42,33,1.03118e-28,0.171429,0.111111,
